Id,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,SalePrice
1,7,7.444248649496705,2.0,6.752270376141742,2,2003,12.247694320220994
2,6,7.140453043101158,2.0,7.140453043101158,2,1976,12.109010932687042
3,7,7.487733761436444,2.0,6.824373670043086,2,2001,12.31716669303576
4,7,7.448333860897476,3.0,6.628041376179533,1,1915,11.84939770159144
5,8,7.6953031349635665,3.0,7.0431599159883405,2,2000,12.429216196844383
6,5,7.216709486709457,2.0,6.679599185844383,1,1993,11.870599909242044
7,8,7.434847875211999,2.0,7.430114138561801,2,2004,12.634603026569334
8,7,7.644919344958857,2.0,7.009408932708637,2,1973,12.206072645530174
9,7,7.480992162869525,2.0,6.858565034791365,2,1931,11.77452020265869
10,5,6.981934677156389,1.0,6.898714534329988,1,1939,11.678439903447801
11,5,6.946975992135418,1.0,6.946975992135418,1,1965,11.771436160121729
12,9,7.751045117971802,3.0,7.069023426578259,3,2005,12.751299696013497
13,5,6.815639990074331,1.0,6.815639990074331,1,1962,11.877568578558138
14,7,7.309212365692763,3.0,7.309212365692763,2,2006,12.540757571577291
15,6,7.133295954896068,1.0,7.133295954896068,1,1960,11.964001084330445
16,7,6.74993119378857,2.0,6.723832440821209,1,1929,11.790557201568507
17,6,6.911747300251674,2.0,6.911747300251674,1,1970,11.911701584927597
18,4,7.16703787691222,2.0,0.0,2,1967,11.407564949312402
19,5,7.01571242048723,2.0,7.01571242048723,1,2004,11.976659481202368
20,5,7.199678345691172,1.0,6.9363427358340495,1,1958,11.842229212112828
21,8,7.773173680482536,3.0,7.05444965813294,3,2005,12.692503112461443
22,7,7.010311867307229,1.0,6.456769655572163,1,1930,11.845102777308561
23,8,7.492760300922379,2.0,7.482681828154651,2,2002,12.345834587905333
24,5,6.966024187106113,2.0,6.946975992135418,1,1976,11.77452020265869
25,5,6.966024187106113,1.0,6.966024187106113,1,1968,11.944707881395766
26,8,7.3777589082278725,3.0,7.356279876550748,2,2007,12.454103912352162
27,5,6.802394763324311,2.0,6.802394763324311,1,1951,11.811547477460344
28,8,7.440733707389261,3.0,7.440733707389261,2,2007,12.631340380934517
29,5,7.3777589082278725,1.0,7.302496423727326,1,1957,12.24288661865289
30,4,6.253828811575473,1.0,6.253828811575473,1,1927,11.134589024250317
31,4,7.183111701743281,1.0,6.47543271670409,1,1920,10.596634733096073
32,5,7.113142108707088,1.0,7.113142108707088,1,1966,11.914047823644255
33,8,7.1180162044653335,2.0,7.1180162044653335,2,2007,12.100156419938624
34,5,7.438383530044307,2.0,7.242797922793756,1,1959,12.016726473799254
35,9,7.353081920515432,2.0,7.353081920515432,2,2005,12.533576212168626
36,8,7.804659297056102,3.0,7.018401799069201,3,2004,12.641096555879882
37,5,7.00033446027523,2.0,7.00033446027523,1,1994,11.884489021402711
38,5,7.167809184316444,2.0,7.167809184316444,1,1954,11.938193200374572
39,5,6.963189985870238,1.0,6.963189985870238,1,1953,11.59910316121128
40,4,7.049254841255837,0.0,0.0,2,1955,11.314474526246391
41,6,7.188412736496954,2.0,6.992096427415888,2,1965,11.982929094215963
